City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Saskylakh,RU,2022-11-08 23:06:42,71.9167,114.0833,-3.24,99,100,1.63
150,Brae,GB,2022-11-08 23:03:13,60.3964,-1.353,51.89,84,100,15.73
151,Geraldton,AU,2022-11-08 23:06:42,-28.7667,114.6,57.61,88,70,6.91
152,Tanabi,BR,2022-11-08 23:06:43,-20.6264,-49.6492,76.91,33,95,7.09
153,Jinchang,CN,2022-11-08 23:03:28,38.4953,102.1739,38.82,38,4,2.48
154,Kahramanmaras,TR,2022-11-08 23:06:43,38.0,37.0,43.75,88,100,2.04
155,Senneterre,CA,2022-11-08 23:06:44,48.3835,-77.2328,29.3,63,19,3.87
156,Vanavara,RU,2022-11-08 23:06:44,60.34,102.2797,13.48,95,100,7.25
157,Portland,US,2022-11-08 23:03:23,45.5234,-122.6762,50.52,70,75,20.71
158,Diego De Almagro,CL,2022-11-08 23:06:44,-26.3667,-70.05,70.14,31,76,6.67
159,Provideniya,RU,2022-11-08 23:06:45,64.3833,-173.3,32.11,80,100,17.9
160,Astoria,US,2022-11-08 23:06:09,46.1879,-123.8313,49.86,74,0,19.57
161,Leningradskiy,RU,2022-11-08 23:06:44,69.3833,178.4167,17.17,87,100,26.33
162,Victor Harbor,AU,2022-11-08 23:06:45,-35.5667,138.6167,79.68,67,97,15.3
163,West Wendover,US,2022-11-08 23:06:45,40.7391,-114.0733,34.81,93,100,5.75
164,Buala,SB,2022-11-08 23:06:46,-8.145,159.5921,81.12,81,100,11.79
165,Mullingar,IE,2022-11-08 23:06:46,53.5333,-7.35,46.67,94,77,13.22
166,Tasiilaq,GL,2022-11-08 23:06:46,65.6145,-37.6368,30.36,96,100,7.45
167,Kosonsoy,UZ,2022-11-08 23:06:47,41.2561,71.5508,34.36,95,100,8.05
168,Farkhor,TJ,2022-11-08 23:06:47,37.4922,69.4036,40.03,84,72,7.09
169,Prince Rupert,CA,2022-11-08 23:06:47,54.3161,-130.3201,27.59,37,99,3.71
170,Moba,CN,2022-11-08 23:06:48,33.2288,105.0179,47.73,95,100,4.83
171,Longyearbyen,SJ,2022-11-08 23:06:48,78.2186,15.6401,24.64,74,75,4.61
172,Plastun,RU,2022-11-08 23:06:48,44.7561,136.2939,36.91,58,30,3.71
173,Sibolga,ID,2022-11-08 23:06:49,1.7427,98.7792,75.29,91,100,1.88
174,Port Blair,IN,2022-11-08 23:06:49,11.6667,92.75,79.36,83,67,11.92
175,Sechura,PE,2022-11-08 23:06:49,-5.5569,-80.8222,69.4,69,45,17.98
176,Aklavik,CA,2022-11-08 23:03:20,68.2191,-135.0107,15.26,90,100,2.86
177,Castro,BR,2022-11-08 23:06:50,-24.7911,-50.0119,56.48,74,56,2.73
178,College,US,2022-11-08 23:05:47,64.8569,-147.8028,25.09,85,75,0.0
179,Sao Filipe,CV,2022-11-08 23:06:50,14.8961,-24.4956,78.31,68,100,7.52
180,Nishihara,JP,2022-11-08 23:06:51,26.1842,127.7558,76.68,83,40,14.97
181,Querecotillo,PE,2022-11-08 23:07:51,-4.8378,-80.6456,71.85,64,10,18.95
182,Kruisfontein,ZA,2022-11-08 23:07:51,-34.0033,24.7314,63.88,80,84,5.17
183,Arrifes,PT,2022-11-08 23:07:52,37.7667,-25.7,62.85,88,40,8.05
184,San Cristobal,VE,2022-11-08 23:07:52,7.7669,-72.225,73.58,95,95,0.98
185,Makurdi,NG,2022-11-08 23:07:52,7.7411,8.5121,76.19,48,96,3.58
186,Makakilo City,US,2022-11-08 23:07:53,21.3469,-158.0858,82.69,59,100,14.97
187,Pangnirtung,CA,2022-11-08 22:58:46,66.1451,-65.7125,14.0,62,20,0.0
188,Saint-Philippe,RE,2022-11-08 23:07:53,-21.3585,55.7679,71.19,81,41,7.43
189,Dogondoutchi,NE,2022-11-08 23:07:53,13.6393,4.0287,81.82,15,3,8.43
190,Palmer,US,2022-11-08 23:07:54,42.1584,-72.3287,47.57,38,0,11.5
191,Solnechnyy,RU,2022-11-08 23:07:54,50.7214,136.6319,26.28,64,76,7.34
192,East London,ZA,2022-11-08 23:07:54,-33.0153,27.9116,64.65,89,20,3.76
193,Puri,IN,2022-11-08 23:07:55,19.8,85.85,70.32,73,7,6.15
194,Paraiso,CR,2022-11-08 23:07:55,9.8383,-83.8656,66.42,98,100,1.28
195,Kavieng,PG,2022-11-08 22:58:45,-2.5744,150.7967,84.79,69,91,6.08
196,Lorengau,PG,2022-11-08 23:07:55,-2.0226,147.2712,83.34,76,99,4.83
197,Aykhal,RU,2022-11-08 23:07:56,66.0,111.5,-3.08,100,89,6.58
